Experiment,Tissue,ROI,Area,Mean,StdDev,Min,Max,Median,SNR
RT01,Muscle,GC_Antrum,0.1,79.056,9.768,42,105,79,8.093366093366093
RT01,Muscle,GC_Pylorus,0.1,73.901,10.629,32,98,76,6.952770721610688
RT01,Muscle,LC_Pylorus,0.1,93.076,9.392,62,119,93,9.910136286201022
RT01,Muscle,LC_LES,0.1,101.922,10.79,65,138,102,9.445968489341984
RT01,Muscle,GC_LES,0.1,113.596,12.897,77,154,113,8.807939830968442
RT01,Muscle,GC_Fundus1,0.101,83.246,9.304,38,105,84,8.947334479793636
RT01,Muscle,GC_Fundus2,0.102,70.69,5.302,54,84,71,13.332704639758582
RT01,Muscle,GC_Corpus,0.101,91.738,10.509,66,117,92,8.729469978113997
RT01,Muscle,LC_Corpus,0.102,109.951,10.288,82,137,110,10.687305598755831
RT01,Muscle,LC_Antrum,0.1,87.435,10.718,59,116,87,8.157771972382907
RT01,Mucosa,GC_Antrum,0.1,72.612,8.473,49,93,72,8.569809984657144
RT01,Mucosa,GC_Pylorus,0.1,70.499,9.478,51,104,70,7.438172610255328
RT01,Mucosa,LC_Pylorus,0.1,82.348,10.631,53,111,82,7.746025773680745
RT01,Mucosa,LC_LES,0.101,99.382,12.529,55,138,100,7.932157394843962
RT01,Mucosa,GC_LES,0.1,112.101,13.957,78,162,112,8.031883642616608
RT01,Mucosa,GC_Fundus1,0.101,81.945,7.481,48,103,82,10.953749498730115
RT01,Mucosa,GC_Fundus2,0.102,67.023,5.526,53,84,67,12.128664495114005
RT01,Mucosa,GC_Corpus,0.101,85.331,8.788,63,108,84,9.709945380063724
RT01,Mucosa,LC_Corpus,0.102,93.142,10.162,57,120,94,9.165715410352291
RT01,Mucosa,LC_Antrum,0.1,81.169,10.681,48,112,82,7.5993820803295575
RT02,Muscle,GC_Antrum,0.1,153.999,26.294,65,202,161,5.856811439872214
RT02,Muscle,GC_Pylorus,0.1,131.029,17.294,77,179,132,7.5765583439343125
RT02,Muscle,LC_Pylorus,0.1,135.896,11.674,90,166,136,11.640911427102964
RT02,Muscle,LC_LES,0.1,139.646,13.585,101,177,140,10.279425837320572
RT02,Muscle,GC_LES,0.1,137.917,13.19,102,179,138,10.456178923426839
RT02,Muscle,GC_Fundus1,0.101,93.473,14.178,53,131,94,6.592819861757652
RT02,Muscle,GC_Fundus2,0.101,94.793,16.245,54,146,95,5.835210834102801
RT02,Muscle,GC_Corpus,0.104,134.7,18.397,71,181,136,7.321845953144535
RT02,Muscle,LC_Corpus,0.104,98.795,18.776,45,144,99,5.261770345121432
RT02,Muscle,LC_Antrum,0.104,104.353,21.04,43,167,105,4.959743346007604
RT02,Mucosa,GC_Antrum,0.1,116.89,13.389,80,153,117,8.730300993352753
RT02,Mucosa,GC_Pylorus,0.1,100.319,10.452,72,136,100,9.598067355530043
RT02,Mucosa,LC_Pylorus,0.1,111.592,10.22,71,139,112,10.918982387475538
RT02,Mucosa,LC_LES,0.1,117.11,14.391,76,156,118,8.13772496699326
RT02,Mucosa,GC_LES,0.1,122.405,14.277,78,155,123,8.573579883729074
RT02,Mucosa,GC_Fundus1,0.101,82.639,16.212,22,129,83,5.097396989884037
RT02,Mucosa,GC_Fundus2,0.101,80.197,14.894,37,121,81,5.384517255270579
RT02,Mucosa,GC_Corpus,0.104,110.457,12.115,74,149,111,9.117375154766817
RT02,Mucosa,LC_Corpus,0.104,69.527,14.891,26,116,70,4.669061849439259
RT02,Mucosa,LC_Antrum,0.104,102.572,17.316,53,153,102,5.923538923538924
RT03,Muscle,GC_Antrum,0.102,146.944,8.872,117,169,148,16.562669071235344
RT03,Muscle,GC_Pylorus,0.101,200.12,11.526,161,223,202,17.362484816935623
RT03,Muscle,LC_Pylorus,0.104,160.53,11.53,119,186,161,13.922810060711189
RT03,Muscle,LC_LES,0.105,126.134,11.739,95,164,125,10.74486753556521
RT03,Muscle,GC_LES,0.101,154.2,10.317,123,179,155,14.946205292236113
RT03,Muscle,GC_Fundus1,0.105,130.821,9.748,91,156,131,13.420291341813707
RT03,Muscle,GC_Fundus2,0.104,124.345,11.459,90,159,123,10.85129592460075
RT03,Muscle,GC_Corpus,0.104,130.309,8.785,106,154,131,14.833124644280023
